id;orden;carro;lado;fecha_hora;usuario;sector;estado
288;64882-1;0;-;2026-04-07 16:57:57.298491;Leandra;Terminado;
287;64882-1;1;B;2026-04-07 16:57:57.121025;Leandra;Corte;
286;64882-1;0;-;2026-04-07 16:57:56.833707;Leandra;Terminado;
285;64882-1;1;B;2026-04-07 16:57:56.654142;Leandra;Corte;
284;64533-1;0;-;2026-04-07 16:57:32.230106;Leandra;Terminado;
283;64533-1;1;B;2026-04-07 16:57:32.068076;Leandra;Corte;
282;65038-1;0;-;2026-04-07 16:57:14.382644;Leandra;Terminado;
281;65038-1;1;B;2026-04-07 16:57:14.205326;Leandra;Corte;
280;64104-2;0;-;2026-04-07 16:56:55.466653;Leandra;Terminado;
279;64104-2;1;A;2026-04-07 16:56:55.290784;Leandra;Corte;
278;64104-1;0;-;2026-04-07 16:56:36.114522;Leandra;Terminado;
277;64104-1;1;A;2026-04-07 16:56:35.952549;Leandra;Corte;
276;60972-1;0;-;2026-04-07 16:56:11.500012;Leandra;Terminado;
275;60972-1;1;A;2026-04-07 16:56:11.339274;Leandra;Corte;
274;64517-1;0;-;2026-04-07 16:55:57.894330;Leandra;Terminado;
273;64517-1;1;A;2026-04-07 16:55:57.719373;Leandra;Corte;
272;65148-1;0;-;2026-04-07 16:54:50.381507;Leandra;Terminado;
271;65148-1;2;B;2026-04-07 16:54:50.218416;Leandra;Corte;
270;65044-2;0;-;2026-04-07 16:54:31.031348;Leandra;Terminado;
269;65044-2;2;B;2026-04-07 16:54:30.875321;Leandra;Corte;
268;60399-1;0;-;2026-04-07 16:53:50.297064;Leandra;Terminado;
267;60399-1;2;B;2026-04-07 16:53:50.132131;Leandra;Corte;
266;62342-1;0;-;2026-04-07 16:53:32.510587;Leandra;Terminado;
265;62342-1;2;B;2026-04-07 16:53:32.333771;Leandra;Corte;
264;63788-1;0;-;2026-04-07 16:53:11.769210;Leandra;Terminado;
263;63788-1;2;B;2026-04-07 16:53:11.476088;Leandra;Corte;
262;60399-2;0;-;2026-04-07 16:52:53.590912;Leandra;Terminado;
261;60399-2;2;B;2026-04-07 16:52:53.429652;Leandra;Corte;
260;64534-1;0;-;2026-04-07 16:52:38.293381;Leandra;Terminado;
259;64534-1;2;A;2026-04-07 16:52:38.126549;Leandra;Corte;
258;65394-1;0;-;2026-04-07 16:52:06.918519;Leandra;Terminado;
257;65394-1;2;A;2026-04-07 16:52:06.739702;Leandra;Corte;
256;65083-1;0;-;2026-04-07 16:51:41.525313;Leandra;Terminado;
255;65083-1;3;B;2026-04-07 16:51:41.363323;Leandra;Corte;
254;62342-2;0;-;2026-04-07 16:51:24.888506;Leandra;Terminado;
253;62342-2;3;B;2026-04-07 16:51:24.725761;Leandra;Corte;
252;62343-1;0;-;2026-04-07 16:51:09.058150;Leandra;Terminado;
251;62343-1;3;B;2026-04-07 16:51:08.878898;Leandra;Corte;
250;65147-1;0;-;2026-04-07 16:50:49.031616;Leandra;Terminado;
249;65147-1;3;B;2026-04-07 16:50:48.851383;Leandra;Corte;
248;64952-1;0;-;2026-04-07 16:50:30.646799;Leandra;Terminado;
247;64952-1;3;B;2026-04-07 16:50:30.487923;Leandra;Corte;
246;65387-1;0;-;2026-04-07 16:50:08.260749;Leandra;Terminado;
245;65387-1;3;A;2026-04-07 16:50:08.082547;Leandra;Corte;
244;65305-1;0;-;2026-04-07 16:49:54.158910;Leandra;Terminado;
243;65305-1;3;A;2026-04-07 16:49:53.983843;Leandra;Corte;
242;64101-1;0;-;2026-04-07 16:49:37.214977;Leandra;Terminado;
241;64101-1;3;A;2026-04-07 16:49:37.048649;Leandra;Corte;
240;65563-1;0;-;2026-04-07 16:49:25.421520;Leandra;Terminado;
239;65563-1;3;A;2026-04-07 16:49:25.246959;Leandra;Corte;
238;65296-1;0;-;2026-04-07 16:49:12.051166;Leandra;Terminado;
237;65296-1;3;A;2026-04-07 16:49:11.874063;Leandra;Corte;
236;65269-1;0;-;2026-04-07 16:48:59.829046;Leandra;Terminado;
235;65269-1;3;A;2026-04-07 16:48:59.654776;Leandra;Corte;
234;59076-2;0;-;2026-04-07 16:48:44.606497;Leandra;Terminado;
233;59076-2;3;A;2026-04-07 16:48:44.395375;Leandra;Corte;
232;65271-1;0;-;2026-04-07 16:48:27.807202;Leandra;Terminado;
231;65271-1;3;A;2026-04-07 16:48:27.614477;Leandra;Corte;
230;65156-1;0;-;2026-04-07 16:48:12.691809;Leandra;Terminado;
229;65156-1;3;A;2026-04-07 16:48:12.528922;Leandra;Corte;
228;64955-1;0;-;2026-04-07 16:47:41.288511;Leandra;Terminado;
227;64955-1;4;B;2026-04-07 16:47:41.094332;Leandra;Corte;
226;64956-1;0;-;2026-04-07 16:47:27.476964;Leandra;Terminado;
225;64956-1;4;B;2026-04-07 16:47:27.298833;Leandra;Corte;
224;63180-1;0;-;2026-04-07 16:47:11.375603;Leandra;Terminado;
223;63180-1;4;B;2026-04-07 16:47:11.163916;Leandra;Corte;
222;9147939-1;0;-;2026-04-07 16:46:45.480298;Leandra;Terminado;
221;9147939-1;4;B;2026-04-07 16:46:45.304825;Leandra;Corte;
220;65401-1;0;-;2026-04-07 16:46:10.279675;Leandra;Terminado;
219;65401-1;4;B;2026-04-07 16:46:10.118950;Leandra;Corte;
218;60972-1;0;-;2026-04-07 16:45:56.133617;Leandra;Terminado;
217;60972-1;4;B;2026-04-07 16:45:55.974904;Leandra;Corte;
216;64516-1;0;-;2026-04-07 16:45:41.289344;Leandra;Terminado;
215;64516-1;4;B;2026-04-07 16:45:41.111855;Leandra;Corte;
214;65043-2;0;-;2026-04-07 16:45:14.316954;Leandra;Terminado;
213;65043-2;4;A;2026-04-07 16:45:14.143058;Leandra;Corte;
212;64766-1;0;-;2026-04-07 16:44:28.340997;Leandra;Terminado;
211;64766-1;4;A;2026-04-07 16:44:28.169977;Leandra;Corte;
210;64762-1;0;-;2026-04-07 16:44:09.443823;Leandra;Terminado;
209;64762-1;4;A;2026-04-07 16:44:09.255823;Leandra;Corte;
208;64767-1;0;-;2026-04-07 16:41:27.379630;Leandra;Terminado;
207;64767-1;4;A;2026-04-07 16:41:27.203530;Leandra;Corte;
206;64763-1;0;-;2026-04-07 16:41:03.746446;Leandra;Terminado;
205;64763-1;4;A;2026-04-07 16:41:03.563230;Leandra;Corte;
204;64762-1;0;-;2026-04-07 16:40:45.181557;Leandra;Terminado;
203;64762-1;4;A;2026-04-07 16:40:45.020005;Leandra;Corte;
202;65135-1;0;-;2026-04-07 16:40:03.945188;Leandra;Terminado;
201;65135-1;4;A;2026-04-07 16:40:03.767767;Leandra;Corte;
200;65134-1;0;-;2026-04-07 16:39:36.456741;Leandra;Terminado;
199;65134-1;4;A;2026-04-07 16:39:36.275526;Leandra;Corte;
198;65043-1;0;-;2026-04-07 16:39:19.244626;Leandra;Terminado;
197;65043-1;4;A;2026-04-07 16:39:18.987301;Leandra;Corte;
196;65044-1;0;-;2026-04-07 16:39:05.726126;Leandra;Terminado;
195;65044-1;4;A;2026-04-07 16:39:05.553173;Leandra;Corte;
194;65386-1;0;-;2026-04-07 16:38:40.494863;Leandra;Terminado;
193;65386-1;4;A;2026-04-07 16:38:40.316957;Leandra;Corte;
192;65410-3;0;-;2026-04-07 16:37:41.333447;Leandra;Terminado;
191;65410-3;5;B;2026-04-07 16:37:41.135930;Leandra;Corte;
190;64533-2;0;-;2026-04-07 16:37:22.893000;Leandra;Terminado;
189;64533-2;5;B;2026-04-07 16:37:22.697724;Leandra;Corte;
188;64105-2;0;-;2026-04-07 16:36:49.802191;Leandra;Terminado;
187;64105-2;5;A;2026-04-07 16:36:49.591195;Leandra;Corte;
186;64105-1;0;-;2026-04-07 16:36:36.581008;Leandra;Terminado;
185;64105-1;5;A;2026-04-07 16:36:36.405541;Leandra;Corte;
184;65345-1;0;-;2026-04-07 16:35:37.122264;Leandra;Terminado;
183;65345-1;5;A;2026-04-07 16:35:36.943664;Leandra;Corte;
182;65366-1;0;-;2026-04-07 16:34:49.544215;Leandra;Terminado;
181;65366-1;5;A;2026-04-07 16:34:49.349503;Leandra;Corte;
180;65466-1;0;-;2026-04-07 16:34:34.264991;Leandra;Terminado;
179;65466-1;5;A;2026-04-07 16:34:34.081531;Leandra;Corte;
178;65343-1;0;-;2026-04-07 16:34:15.718223;Leandra;Terminado;
177;65343-1;5;A;2026-04-07 16:34:15.539329;Leandra;Corte;
176;65466-2;0;-;2026-04-07 16:34:02.630253;Leandra;Terminado;
175;65466-2;5;A;2026-04-07 16:34:02.425947;Leandra;Corte;
174;65233-1;0;-;2026-04-07 16:33:44.541010;Leandra;Terminado;
173;65233-1;5;A;2026-04-07 16:33:44.346652;Leandra;Corte;
172;65054-1;0;-;2026-04-07 16:33:29.007963;Leandra;Terminado;
171;65054-1;5;A;2026-04-07 16:33:28.833112;Leandra;Corte;
170;65130-1;0;-;2026-04-07 16:33:13.042087;Leandra;Terminado;
169;65130-1;5;A;2026-04-07 16:33:12.886436;Leandra;Corte;
168;65402-1;0;-;2026-04-07 16:32:57.104026;Leandra;Terminado;
167;65402-1;5;A;2026-04-07 16:32:56.948181;Leandra;Corte;
166;65466-3;0;-;2026-04-07 16:32:35.608625;Leandra;Terminado;
165;65466-3;6;A;2026-04-07 16:32:35.432665;Leandra;Corte;
164;65409-2;0;-;2026-04-07 16:32:13.388779;Leandra;Terminado;
163;65409-2;6;B;2026-04-07 16:32:13.205645;Leandra;Corte;
162;65361-1;0;-;2026-04-07 16:31:53.181511;Leandra;Terminado;
161;65361-1;6;B;2026-04-07 16:31:52.997424;Leandra;Corte;
160;65130-1;0;-;2026-04-07 16:31:38.495027;Leandra;Terminado;
159;65130-1;6;B;2026-04-07 16:31:38.328234;Leandra;Corte;
158;65130-2;0;-;2026-04-07 16:31:21.236752;Leandra;Terminado;
157;65130-2;6;B;2026-04-07 16:31:21.057687;Leandra;Corte;
156;65129-1;0;-;2026-04-07 16:30:41.429858;Leandra;Terminado;
155;65129-1;6;A;2026-04-07 16:30:41.246187;Leandra;Corte;
154;65121-1;0;-;2026-04-07 16:30:24.455338;Leandra;Terminado;
153;65121-1;6;A;2026-04-07 16:30:24.260447;Leandra;Corte;
152;65121-1;0;-;2026-04-07 16:30:23.970585;Leandra;Terminado;
151;65121-1;6;A;2026-04-07 16:30:23.792255;Leandra;Corte;
150;65451-1;0;-;2026-04-07 16:30:08.302537;Leandra;Terminado;
149;65451-1;6;A;2026-04-07 16:30:08.111835;Leandra;Corte;
148;65325-1;0;-;2026-04-07 15:48:32.793688;Leandra;Terminado;
147;65325-1;8;B;2026-04-07 15:48:32.599198;Leandra;Templado;
146;65352-1;0;-;2026-04-07 15:48:02.498707;Leandra;Terminado;
145;65352-1;8;A;2026-04-07 15:48:02.319564;Leandra;Templado;
144;65223-1;0;-;2026-04-07 15:47:36.197031;Leandra;Terminado;
143;65223-1;9;B;2026-04-07 15:47:36.036136;Leandra;Templado;
142;65222-1;0;-;2026-04-07 15:47:16.926142;Leandra;Terminado;
141;65222-1;9;B;2026-04-07 15:47:16.748147;Leandra;Templado;
140;65786-2;0;-;2026-04-07 15:46:45.104035;Leandra;Terminado;
139;65786-2;8;B;2026-04-07 15:46:44.918836;Leandra;Templado;
138;65786-1;0;-;2026-04-07 15:46:31.857598;Leandra;Terminado;
137;65786-1;9;B;2026-04-07 15:46:31.662015;Leandra;Templado;
136;65468-1;0;-;2026-04-07 15:45:37.702952;Leandra;Terminado;
135;65468-1;9;B;2026-04-07 15:45:37.541756;Leandra;Templado;
134;9147938-1;0;-;2026-04-07 15:45:12.896567;Leandra;Terminado;
133;9147938-1;9;A;2026-04-07 15:45:12.721865;Leandra;Templado;
132;65310-1;0;-;2026-04-07 15:44:46.030253;Leandra;Terminado;
131;65310-1;9;A;2026-04-07 15:44:45.848865;Leandra;Templado;
130;65467-1;0;-;2026-04-07 15:44:30.793880;Leandra;Terminado;
129;65467-1;9;A;2026-04-07 15:44:30.554886;Leandra;Templado;
128;64785-2;0;-;2026-04-07 15:44:13.507004;Leandra;Terminado;
127;64785-2;9;A;2026-04-07 15:44:13.322282;Leandra;Templado;
126;64785-1;0;-;2026-04-07 15:43:55.096366;Leandra;Terminado;
125;64785-1;9;A;2026-04-07 15:43:54.933847;Leandra;Templado;
124;65439-1;0;-;2026-04-07 15:43:17.933722;Leandra;Terminado;
123;65439-1;10;B;2026-04-07 15:43:17.752724;Leandra;Templado;
122;65285-1;0;-;2026-04-07 15:42:53.715761;Leandra;Terminado;
121;65285-1;10;A;2026-04-07 15:42:53.523329;Leandra;Templado;
120;65384-1;0;-;2026-04-07 15:42:14.981697;Leandra;Terminado;
119;65384-1;10;A;2026-04-07 15:42:14.814256;Leandra;Templado;
118;65070;0;-;2026-04-07 15:41:03.974920;Daniel;Entrega;
117;65372-2;0;-;2026-04-07 15:41:02.600083;Leandra;Terminado;
